English,Dutch
action,actie
active,actief
activity,activiteit
address,adres
advice,advies
agent,agent
already,al
all,alle
only,alleen
other,ander
answer,antwoord
argument,argument
arm,arm
article,artikel
aspect,aspect
author,auteur
automatically,automatisch
boss,baas
baby,baby
bank,bank
base,basis
bed,bed
get started,begin
to begin,beginnen
both,beide
to influence,benvloeden
discuss,bespreken
better,beter
busy,bezig
beer,bier
to bite,bijten
bitter,bitter
blue,blauw
blood,bloed
bottom,bodem
book,boek
boat,boot
bring,brengen
brother,broer
bread,brood
brown,bruin
bus,bus
cafe,caf
category,categorie
centre,centrum
colleague,collega
combination,combinatie
communication,communicatie
computer,computer
conclusion,conclusie
consequence,consequentie
contact,contact
crisis,crisis
cultural,cultureel
culture,cultuur
there,daar
day,dag
then,dan
to thank,danken
to dance,dansen
that,dat
the,de
to think,denken
third,derde
detail,detail
door,deur
this,deze
deep,diep
thing,ding
directly,direct
director,directeur
discussion,discussie
this,dit
daughter,dochter
to do,doen
doctor,dokter
dumb,dom
death,dood
dead,dood
three,drie
drink,drinken
to dream,dromen
dream,droom
double,dubbel
thin,dun
economy,economie
a,een
first,eerst
first,eerst
effect,effect
island,eiland
end,eind
endless,eindeloos
to end,eindigen
each,elk
emotion,emotie
emotional,emotioneel
and,en
energy,energie
english,Engels
enormous,enorm
there,er
experiment,experiment
factory,fabriek
factor,factor
family,familie
phase,fase
fact,feit
figure,figuur
movie,film
financial,financieel
to formulate,formuleren
photo,foto
fruit,fruit
function,functie
fundamentally,fundamenteel
to go,gaan
guest,gast
born,geboren
give,geef
luck,geluk
mean,gemeen
generation,generatie
to give,geven
feeling,gevoel
glass,glas
good,goed
goods,goederen
golden,gouden
grass,gras
to grow,groeien
green,groen
group,groep
her,haar
half,half
hand,hand
hard,hard
heart,hart
to have,hebben
hot,heet
half,helft
to help,helpen
him,hem
it,het
here,hier
he,hij
historical,historisch
how,hoe
hat,hoed
Holland,Holland
hungry,honger
hope,hoop
to hope,hopen
to hear,horen
hotel,hotel
to keep,houden
house,huis
help,hulp
hut,hut
ideal,ideaal
idea,idee
I,ik
in,in
individual,individu
individually,individueel
information,informatie
initiative,initiatief
instrument,instrument
interesting,interessant
to be interested,interesseren
international,internationaal
influence,invloed
yes,ja
year,jaar
you,je
yourself,jezelf
you,jij
young,jong
young man,jongeman
you,jou
you,jullie
june,juni
cheese,kaas
calm,kalm
camp,kamp
character,karakter
cat,kat
kilometers,kilometer
client,klant
class,klas
class,klas
classic,klassiek
color,kleur
to climb,klimmen
knee,knie
cool,koel
coffee,koffie
come,komen
king,koning
to cost,kosten
cold,koud
cross,kruis
can/to be able to,kunnen
coast,kust
quality,kwaliteit
late,laat
last,laatste
laugh,lachen
landscape,landschap
long,lang
along,langs
to let,laten
later,later
to lead,leiden
leader,leider
leadership,leiding
to learn,leren
to learn,leren
life,leven
to deliver,leveren
light,licht
love,liefde
list,lijst
lip,lip
literature,literatuur
logical,logisch
loose,los
listen,luisteren
lieutenant,luitenant
meal,maaltijd
moon,maan
month,maand
machine,machine
to make,maken
mom,mama
man,man
market,markt
material,materiaal
me,me
medical,medisch
more,meer
mostly,meestal
master,meester
mean,menen
meter,meter
method,methode
myself,mezelf
me,mij
my,mijn
million,miljoen
minister,minister
minute,minuut
to miss,missen
modern,modern
mother,moeder
should,moeten
moment,moment
mouth,mond
motive,motief
museum,museum
music,muziek
name,naam
night,nacht
national,nationaal
nature,natuur
no,nee
negative,negatief
neck,nek
nose,neus
not,niet
new,nieuw
north,noorden
normal,normaal
now,nu
number,nummer
object,object
or,of
officially,officieel
officer,officier
October,oktober
oil,olie
lack,ontbreken
ear,oor
on,op
open,open
to open,openen
operation,operatie
organ,orgaan
organization,organisatie
to organize,organiseren
old,oud
old,oud
path,pad
paper,papier
partner,partner
pass,passeren
patient,patint
pattern,patroon
period,periode
press,pers
person,persoon
personally,persoonlijk
personality,persoonlijkheid
pain,pijn
painful,pijnlijk
plate,plaat
place,plaats
place,plaatsen
plan,plan
plant,plant
pleasure,plezier
law enforcement,politie
position,positie
positive,positief
pot,pot
practice,praktijk
practical,praktisch
president,president
price,prijs
problem,probleem
per cent,procent
process,proces
to produce,produceren
product,product
production,productie
program,programma
project,project
province,provincie
psychology,psychologie
psychological,psychologisch
psychologist,psycholoog
to publish,publiceren
radio,radio
reaction,reactie
realize,realiseren
reason,reden
reason,reden
relationship,relatie
relatively,relatief
To run,rennen
rest,rest
restaurant,restaurant
result,resultaat
rich,rijk
risk,risico
river,rivier
role,rol
round,rond
red,rood
to rest,rusten
shadow,schaduw
shoe,schoen
school,school
shoulder,schouder
second,seconde
sector,sector
serious,serieus
cigarette,sigaret
since,sinds
sleep,slaap
to sleep,slapen
snow,sneeuw
social,sociaal
some,sommige
sometimes,soms
kind,soort
special,speciaal
specific,specifiek
to speak,spreken
stand,staan
to stand,staan
state,staat
step,stap
to step,stappen
station,station
stone,steen
star,ster
stiff,stijf
style,stijl
stop,stoppen
street,straat
structure,structuur
student,student
to study,studeren
to study,studeren
study,studie
good luck,succes
sugar,suiker
symbol,symbool
system,systeem
table,tafel
aunt,tante
too,te
technic,techniek
technical,technisch
text,tekst
phone,telefoon
television,televisie
term,term
terrace,terras
terrain,terrein
tea,thee
theoretically,theoretisch
theory,theorie
ten,tien
title,titel
then (past),toen
tongue,tong
top,top
total,totaal
tradition,traditie
traditional,traditioneel
train,trein
two,twee
typical,typisch
you,u
university,universiteit
hour,uur
father,vader
fall,vallen
to fight,vechten
field,veld
far,ver
to forbid,verbieden
further,verder
to spread,verspreiden
to tell,vertellen
fulfill,vervullen
four,vier
five,vijf
find,vinden
finger,vinger
fish,vis
vision,visie
fly,vliegen
floor,vloer
to flee,vluchten
to feel,voelen
foot,voet
full,vol
before,voor
formation,vorming
friend,vriend
friendly,vriendelijk
free,vrij
to fill,vullen
fire,vuur
to wait,wachten
awake,wakker
when,wanneer
weapon,wapen
warm,warm
warmth,warmte
To wash,wassen
what,wat
water,water
we,we
week,week
which,welk
wish,wens
to wish,wensen
world,wereld
work,werk
to work,werken
west,westen
western,westers
we,wij
wide,wijd
wine,wijn
wild,wild
wind,wind
to win,winnen
winter,winter
white,wit
word,woord
sand,zand
sea,zee
self,zelf
to send,zenden
six,zes
sick,ziek
she,zij
to sing,zingen
to sit,zitten
so,zo
so that,zodat
summer,zomer
sunday,zondag
son,zoon
shall,zullen
sister,zuster
